# SYNTHETIC TEST DATA. NOT GeoNames, and not any real place.
#
# Committed so `pnpm geo:audit` runs on a fresh checkout with no download and no network.
# Two reasons it is invented rather than a real slice of cities15000:
#
#   1. Real rows are CC BY 4.0. Vendoring them would put an attribution obligation on a test
#      fixture, which is a silly place for one.
#   2. A fixture that looks like real data invites someone to read a finding off it. Every
#      place name here is invented and every country code is in the ISO user-assigned range
#      (XE, XS, XF, XN, XU, XO), so there is nothing to mistake for a fact about the world.
#
# Coordinates ARE inside real continental bounding boxes, because continent and grid
# assignment are what is under test. 66 scattered rows, 11 per landmass, PLUS a deliberate
# 16-row cluster inside ~200 km so the junction score has something to measure — the first
# --stage=audit run scored junction at zero for every candidate and that is why it is here.
#
# Columns are the published GeoNames geoname-table order; see read-geonames.ts.
900001	Elyfell	Elyfell		35.25171	11.68491	P	PPLA2	XE		01				2655187		1694	Etc/UTC	2026-08-09
900002	Casmarsh	Casmarsh		37.6575	5.8688	P	PPLA	XE		01				80889		655	Etc/UTC	2026-08-09
900003	Casreach	Casreach		54.63225	9.1285	P	PPL	XE		01				844881		737	Etc/UTC	2026-08-09
900004	Ostmoor	Ostmoor		37.69858	19.926	P	PPLA	XE		01				167800		1196	Etc/UTC	2026-08-09
900005	Nymmara	Nymmara		50.41244	28.21881	P	PPLA2	XE		01				771369		343	Etc/UTC	2026-08-09
900006	Dunfell	Dunfell		40.32844	39.32945	P	PPLA2	XE		01				343812		152	Etc/UTC	2026-08-09
900007	Dunwick	Dunwick		36.37667	36.31216	P	PPL	XE		01				139495		360	Etc/UTC	2026-08-09
900008	Nymport	Nymport		62.90537	5.30461	P	PPL	XE		01				396017		657	Etc/UTC	2026-08-09
900009	Astreach	Astreach		67.6966	16.89673	P	PPLA2	XE		01				3400930		163	Etc/UTC	2026-08-09
900010	Ostvik	Ostvik		34.46863	-1.49446	P	PPLA2	XE		01				504011		516	Etc/UTC	2026-08-09
900011	Velstad	Velstad		59.16214	-11.9868	P	PPLA	XE		01				36837		1061	Etc/UTC	2026-08-09
900012	Elyvik	Elyvik		7.82372	176.12105	P	PPL	XS		01				1420737		24	Etc/UTC	2026-08-09
900013	Branvik	Branvik		40.3354	76.74733	P	PPLA	XS		01				641702		964	Etc/UTC	2026-08-09
900014	Varford	Varford		-2.12554	136.74029	P	PPL	XS		01				3049233		-3	Etc/UTC	2026-08-09
900015	Nymmarsh	Nymmarsh		6.96241	169.54153	P	PPL	XS		01				872298		420	Etc/UTC	2026-08-09
900016	Selmarsh	Selmarsh		53.26785	126.60992	P	PPLA	XS		01				728245		655	Etc/UTC	2026-08-09
900017	Selheim	Selheim		0.65529	49.24518	P	PPL	XS		01				2759511		375	Etc/UTC	2026-08-09
900018	Tormoor	Tormoor		75.12939	161.54762	P	PPLA	XS		01				2203886		1167	Etc/UTC	2026-08-09
900019	Elymoor	Elymoor		45.36661	177.47546	P	PPL	XS		01				734311		169	Etc/UTC	2026-08-09
900020	Branwick	Branwick		59.54136	79.16837	P	PPLC	XS		01				100379		850	Etc/UTC	2026-08-09
900021	Torgard	Torgard		18.64808	107.39591	P	PPLC	XS		01				1902008		263	Etc/UTC	2026-08-09
900022	Torstad	Torstad		66.86794	42.28917	P	PPL	XS		01				75450		272	Etc/UTC	2026-08-09
900023	Astheim	Astheim		-10.14637	12.48013	P	PPL	XF		01				275995		329	Etc/UTC	2026-08-09
